ID,Nosaukums,Ražotājs,Modelis,Skaits,Cena
1,Ģeneratora rullītis,VALEO,588001,41,"€25,45"
2,Ģeneratora rullītis,FEBI BILSTEIN,15262,33,"€25,04"
3,Cilindru galvas vāks,MAXGEAR,28-0764,2,"€69,06"
4,Bremžu diski ,BOSCH,0 986 479 677,14,"€24,68"
5,Bremžu diski,MAXGEAR,19-0839,4,"€16,34"
6,Spiediena slēdzis,VEMO ,V10-73-0442,2,"€223,25
"
7,Turbopūte,MAGNETI MARELLI,807101001500,3,"€306,16"
8,Turbopūte,NISSENS,93067,1,"€404,73"
9,Kvēpfiltrs,BM CATALYSTS,BM11111,5,"€274,30"
10,Kvēpfiltrs,KAMOKA,8010001,2,"€216,76
"
11,Ksenona papildlukturis,HELLA,1F8 007 560-731,2,"€368,88"
12,Rezistors (CAN-bus),EINPARTS,EPRES05,25,"€9,10
"
13,Ārējais apgaismojums,EINPARTS,EP598,23,"€26,86"
14,Spārns,BLIC,6504-04-0061315P,2,"€90,23"
15,Sānsiena,KLOKKERHOLM,3526582,1,"€24,41
"
16,Ventilatora reste,DEPO,053-21-452,6,"€4,77"
17,Spoilers,VAN WEZEL,5888500,1,"€20,80"
18,Spoilers,BLIC,5511-00-0019220P,1,"€75,15"
19,Spoilers ,JP GROUP,1180550770,3,"€6,41"
20,Agregātu balsts,BLIC,0206-05-3451005P,1,"€225,59"
21,Atspere,LESJÖFORS,4095845,33,"€43,88
"
22,Atspere,MAXGEAR,60-0525,51,"€17,64"
23,Svārstību slāpētājs,SACHS ,1866 600 014,4,"€565,53"
24,Akumulators,DETA,Senator 3 DA770 77AH 760A,1,"€123,47"
25,Auto paklājiņi,REZAW PLAST,"200702 BMW 3 (E46, E90, E91)",1,"€37,45"
26,Ziemas riepas,SUNFULL,SF-982 XL 225/45 R17 94H,4,"€67,14"
27,"Ziemas riepas
",Sailun Ice Blazer,WST3 XL 195/65 R15 95T,8,"€71,26"
28,"Vissezonas riepas
",BFGoodrich All Terrain,T/A KO2 M+S 265/75 R16 119/116R,2,"€226,81"
29,"Vissezonas riepas
",Gripmax,A/T 215/65 R16 98T,16,"€91,57"
